dt,t,T1,T2,Q1,Q2,Ta1,Ta2
2025-08-11 11:40:30.177132,0,24.024,24.186,0,0,23.896,24.411
2025-08-11 11:40:40.174724,10.0,24.121,24.153,0,0,23.831,24.443
2025-08-11 11:40:50.171830,20.0,24.089,24.121,0,0,24.057,24.443
2025-08-11 11:41:00.181929,30.01,24.121,24.121,0,0,23.799,24.443
2025-08-11 11:41:10.179428,40.0,23.605,23.702,0,0,23.799,24.443
2025-08-11 11:41:20.183302,50.01,24.121,24.121,0,0,23.799,24.443
2025-08-11 11:41:30.262254,60.02,24.282,24.314,78,0,23.799,24.443
2025-08-11 11:41:40.186795,70.01,24.701,24.379,78,0,23.96,24.443
2025-08-11 11:41:50.188229,80.0,25.281,24.476,78,0,23.863,24.443
2025-08-11 11:42:00.174144,90.0,26.764,24.572,78,0,23.799,24.443
2025-08-11 11:42:10.185461,100.01,28.278,24.701,78,0,23.896,24.443
2025-08-11 11:42:20.183455,110.01,30.147,24.959,78,0,24.089,24.443
2025-08-11 11:42:30.181251,120.01,32.017,25.152,78,0,24.057,24.476
2025-08-11 11:42:40.178787,130.01,34.176,25.378,78,0,24.121,24.443
2025-08-11 11:42:50.176198,140.01,36.206,25.765,78,0,24.024,24.476
2025-08-11 11:43:00.186344,150.01,38.14,26.087,78,0,24.057,24.476
2025-08-11 11:43:10.183173,160.0,40.267,26.538,78,0,24.121,24.604
2025-08-11 11:43:20.245771,170.01,42.071,26.893,44,0,24.121,24.637
2025-08-11 11:43:30.178431,180.0,43.65,27.408,44,0,24.121,24.637
2025-08-11 11:43:40.189199,190.01,45.197,27.924,44,0,24.121,24.733
2025-08-11 11:43:50.185538,200.01,46.132,28.407,44,0,24.121,24.701
2025-08-11 11:44:00.183441,210.01,46.809,28.794,44,0,24.121,24.766
2025-08-11 11:44:10.180743,220.01,47.163,29.116,44,0,24.121,24.733
2025-08-11 11:44:20.177315,230.0,47.614,29.567,44,0,24.121,24.766
2025-08-11 11:44:30.187640,240.01,47.775,29.729,44,0,24.121,24.766
2025-08-11 11:44:40.185752,250.01,48.291,30.083,44,0,24.121,24.766
2025-08-11 11:44:50.182706,260.01,48.839,30.599,44,0,24.153,24.766
2025-08-11 11:45:00.180096,270.0,49.064,31.05,44,0,24.121,24.766
2025-08-11 11:45:10.177044,280.0,49.419,31.533,44,0,24.186,24.766
2025-08-11 11:45:20.174273,290.01,49.677,31.855,44,0,24.379,24.766
2025-08-11 11:45:30.247143,300.01,49.677,32.726,44,86,24.443,24.927
2025-08-11 11:45:40.182535,310.01,50.225,33.435,44,86,24.411,24.862
2025-08-11 11:45:50.179862,320.01,50.482,34.401,44,86,24.443,25.056
2025-08-11 11:46:00.190102,330.01,50.74,35.207,44,86,24.443,25.056
2025-08-11 11:46:10.187244,340.01,51.063,36.561,44,86,24.443,25.088
2025-08-11 11:46:20.184783,350.01,51.481,38.494,44,86,24.443,25.088
2025-08-11 11:46:30.181760,360.01,51.224,39.751,44,86,24.443,25.088
2025-08-11 11:46:40.178394,370.01,51.643,40.911,44,86,24.443,25.088
2025-08-11 11:46:50.176198,380.01,51.997,42.78,44,86,24.443,25.088
2025-08-11 11:47:00.186514,390.01,52.062,43.973,44,86,24.476,25.088
2025-08-11 11:47:10.183709,400.01,52.352,45.648,44,86,24.476,25.088
2025-08-11 11:47:20.180875,410.01,52.577,47.002,44,86,24.476,25.088
2025-08-11 11:47:30.193793,420.01,52.706,47.775,44,86,24.701,25.088
2025-08-11 11:47:40.188623,430.01,52.996,49.258,44,86,24.637,25.088
2025-08-11 11:47:50.185794,440.01,53.125,49.87,44,86,24.637,25.152
2025-08-11 11:48:00.184021,450.01,53.254,51.127,44,86,24.766,25.12
2025-08-11 11:48:10.194186,460.01,53.286,51.675,44,86,24.766,25.185
2025-08-11 11:48:20.178283,470.01,53.512,52.867,44,86,24.766,25.281
