datetime,t,T1,T2,Q1,Q2,t_amb,Ta1,Ta2
2025-09-23 11:03:12.691210,0,23.025,23.154,0,0,0,23.025,23.154
2025-09-23 11:03:22.676498,10.01,23.09,23.251,0,0,,23.025,23.154
2025-09-23 11:03:32.674225,20.01,22.993,23.187,0,0,,23.025,23.154
2025-09-23 11:03:42.658268,30.0,22.993,23.187,0,0,,23.025,23.154
2025-09-23 11:03:52.668567,40.01,23.058,23.187,0,0,,23.025,23.154
2025-09-23 11:04:02.680057,50.01,22.993,23.219,0,0,,23.025,23.154
2025-09-23 11:04:12.762856,60.01,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:04:22.683865,70.01,22.896,23.154,0,0,,23.025,23.154
2025-09-23 11:04:32.668152,80.01,22.929,23.154,0,0,,23.025,23.154
2025-09-23 11:04:42.678074,90.02,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:04:52.662277,100.0,22.864,23.154,0,0,,23.025,23.154
2025-09-23 11:05:02.672339,110.01,22.864,23.154,0,0,,23.025,23.154
2025-09-23 11:05:12.683395,120.01,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:05:22.667762,130.01,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:05:32.664121,140.0,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:05:42.674117,150.01,22.832,23.154,0,0,,23.025,23.154
2025-09-23 11:05:52.768044,160.01,23.025,23.315,86,0,,23.025,23.154
2025-09-23 11:06:02.672190,170.02,23.348,23.348,86,0,,23.025,23.154
2025-09-23 11:06:12.666093,180.01,24.476,23.412,86,0,,23.025,23.154
2025-09-23 11:06:22.659755,190.0,25.926,23.348,86,0,,23.025,23.154
2025-09-23 11:06:32.679810,200.01,27.569,23.67,86,0,,23.025,23.154
2025-09-23 11:06:42.673367,210.01,29.245,23.831,86,0,,23.025,23.154
2025-09-23 11:06:52.665959,220.0,31.082,24.25,86,0,,23.025,23.154
2025-09-23 11:07:02.673907,230.0,32.693,24.54,86,0,,23.025,23.154
2025-09-23 11:07:12.673785,240.01,34.337,24.991,86,0,,23.025,23.154
2025-09-23 11:07:22.674674,250.01,35.626,25.41,86,0,,23.025,23.154
2025-09-23 11:07:32.673782,260.01,36.947,25.926,86,0,,23.025,23.154
2025-09-23 11:07:42.661970,270.0,38.236,26.474,86,0,,23.025,23.154
2025-09-23 11:07:52.662823,280.0,39.429,26.893,86,0,,23.025,23.154
2025-09-23 11:08:02.675859,290.01,40.75,27.569,86,0,,23.025,23.154
2025-09-23 11:08:12.763204,300.01,41.749,27.924,86,9,,23.025,23.154
2025-09-23 11:08:22.674022,310.01,42.684,28.568,86,9,,23.025,23.154
2025-09-23 11:08:32.674636,320.01,43.457,28.955,86,9,,23.025,23.154
2025-09-23 11:08:42.662395,330.0,44.392,29.535,86,9,,23.025,23.154
2025-09-23 11:08:52.675807,340.01,45.068,30.147,86,9,,23.025,23.154
2025-09-23 11:09:02.664114,350.0,45.745,30.695,86,9,,23.025,23.154
2025-09-23 11:09:12.677479,360.01,46.519,31.211,86,9,,23.025,23.154
2025-09-23 11:09:22.665031,370.01,47.228,31.823,86,9,,23.025,23.154
2025-09-23 11:09:32.677882,380.01,47.808,32.307,86,9,,23.025,23.154
2025-09-23 11:09:42.666782,390.01,48.484,32.726,86,9,,23.025,23.154
2025-09-23 11:09:52.682920,400.01,48.807,33.177,86,9,,23.025,23.154
2025-09-23 11:10:02.674174,410.01,49.29,33.435,86,9,,23.025,23.154
2025-09-23 11:10:12.665085,420.01,49.806,33.918,86,9,,23.025,23.154
2025-09-23 11:10:22.668639,430.0,50.45,34.305,86,9,,23.025,23.154
2025-09-23 11:10:32.674702,440.02,50.611,34.627,86,9,,23.025,23.154
2025-09-23 11:10:42.659456,450.0,51.159,34.981,86,9,,23.025,23.154
2025-09-23 11:10:52.856882,460.02,51.546,35.433,76,0,,23.025,23.154
2025-09-23 11:11:02.659588,470.01,51.836,35.69,76,0,,23.025,23.154
2025-09-23 11:11:12.668454,480.01,52.19,35.98,76,0,,23.025,23.154
2025-09-23 11:11:22.662309,490.0,52.319,36.271,76,0,,23.025,23.154
2025-09-23 11:11:32.670004,500.01,52.352,36.238,76,0,,23.025,23.154
2025-09-23 11:11:42.668222,510.01,52.545,36.464,76,0,,23.025,23.154
2025-09-23 11:11:52.664894,520.0,52.577,36.528,76,0,,23.025,23.154
2025-09-23 11:12:02.674722,530.01,52.545,36.528,76,0,,23.025,23.154
2025-09-23 11:12:12.673866,540.01,52.416,36.593,76,0,,23.025,23.154
2025-09-23 11:12:22.657149,550.0,52.674,36.754,76,0,,23.025,23.154
2025-09-23 11:12:32.662216,560.01,52.319,36.625,76,0,,23.025,23.154
2025-09-23 11:12:42.667948,570.01,52.384,36.689,76,0,,23.025,23.154
2025-09-23 11:12:52.673452,580.01,52.319,36.915,76,0,,23.025,23.154
2025-09-23 11:13:02.667319,590.01,52.384,36.851,76,0,,23.025,23.154
2025-09-23 11:13:12.660967,600.01,52.448,37.012,76,0,,23.025,23.154
2025-09-23 11:13:22.667696,610.01,52.319,36.786,76,0,,23.025,23.154
2025-09-23 11:13:32.673307,620.01,52.319,36.915,76,0,,23.025,23.154
2025-09-23 11:13:42.655893,630.0,52.545,37.012,76,0,,23.025,23.154
2025-09-23 11:13:52.661470,640.0,52.384,36.851,76,0,,23.025,23.154
2025-09-23 11:14:02.667524,650.01,52.255,36.947,76,0,,23.025,23.154
2025-09-23 11:14:12.662246,660.01,52.48,37.237,76,0,,23.025,23.154
2025-09-23 11:14:22.670463,670.01,52.609,37.27,76,0,,23.025,23.154
2025-09-23 11:14:32.664330,680.0,52.674,37.173,76,0,,23.025,23.154
2025-09-23 11:14:42.670390,690.01,52.642,37.334,76,0,,23.025,23.154
2025-09-23 11:14:52.665757,700.01,52.738,37.302,76,0,,23.025,23.154
2025-09-23 11:15:02.661472,710.01,52.867,37.334,76,0,,23.025,23.154
2025-09-23 11:15:12.658452,720.0,52.899,37.334,76,0,,23.025,23.154
2025-09-23 11:15:22.667914,730.0,52.932,37.398,76,0,,23.025,23.154
2025-09-23 11:15:32.664480,740.01,52.835,37.463,76,0,,23.025,23.154
2025-09-23 11:15:42.662010,750.0,52.899,37.527,76,0,,23.025,23.154
2025-09-23 11:15:52.670296,760.01,52.932,37.463,76,0,,23.025,23.154
2025-09-23 11:16:02.667487,770.01,52.642,37.56,76,0,,23.025,23.154
2025-09-23 11:16:12.665200,780.0,52.706,37.431,76,0,,23.025,23.154
2025-09-23 11:16:22.663931,790.0,52.867,37.527,76,0,,23.025,23.154
2025-09-23 11:16:32.766276,800.01,52.996,37.656,76,37,,23.025,23.154
2025-09-23 11:16:42.670239,810.01,52.964,37.979,76,37,,23.025,23.154
2025-09-23 11:16:52.666254,820.0,53.028,38.14,76,37,,23.025,23.154
2025-09-23 11:17:02.663779,830.01,52.803,38.14,76,37,,23.025,23.154
2025-09-23 11:17:12.669992,840.01,52.642,38.526,76,37,,23.025,23.154
2025-09-23 11:17:22.655139,850.0,52.835,38.945,76,37,,23.025,23.154
2025-09-23 11:17:32.675819,860.01,53.061,39.461,76,37,,23.025,23.154
2025-09-23 11:17:42.672000,870.01,53.061,39.751,76,37,,23.025,23.154
2025-09-23 11:17:52.657247,880.0,53.125,40.138,76,37,,23.025,23.154
2025-09-23 11:18:02.675263,890.01,53.286,40.428,76,37,,23.025,23.154
2025-09-23 11:18:12.660417,900.0,53.479,40.879,76,37,,23.025,23.154
2025-09-23 11:18:22.658972,910.01,53.318,40.911,76,37,,23.025,23.154
2025-09-23 11:18:32.755228,920.01,53.641,41.201,65,37,,23.025,23.154
2025-09-23 11:18:42.660255,930.01,53.608,41.233,65,37,,23.025,23.154
2025-09-23 11:18:52.658917,940.01,53.544,41.62,65,37,,23.025,23.154
2025-09-23 11:19:02.657718,950.01,53.673,42.007,65,37,,23.025,23.154
2025-09-23 11:19:12.658024,960.01,53.479,42.104,65,37,,23.025,23.154
2025-09-23 11:19:22.664498,970.01,53.254,42.071,65,37,,23.025,23.154
2025-09-23 11:19:32.657127,980.01,52.899,42.039,65,37,,23.025,23.154
2025-09-23 11:19:42.655682,990.01,53.093,42.426,65,37,,23.025,23.154
2025-09-23 11:19:52.654410,1000.0,53.093,42.458,65,37,,23.025,23.154
2025-09-23 11:20:02.663362,1010.01,52.932,42.49,65,37,,23.025,23.154
2025-09-23 11:20:12.662225,1020.01,52.642,42.297,65,37,,23.025,23.154
